Data;Załadunek;Importer;Towar;Waga;Cena;Transport;Plac;Wartość;Faktura;Firma;Kierunek;Kod odpadu;Reklamacja;LS;Skąd;;
2026-01-05;;Recyclog/Recykler;1.04;24,240;462,00;1 250,00;410,43;11 198,88;1/01/2026,  2/01/2026;Midass;Schwedt;150101;;600275632;EWRANT;;
2026-01-05;;Recyclog/Recykler;1.04;22,295;462,00;1 250,00;405,93;10 300,29;1/01/2026,  2/01/2026;Midass;Schwedt;150101;23,200;600275633;EWRANT;;
2026-01-07;;Recyclog/Recykler;1.04;23,420;462,00;1 250,00;408,63;10 820,04;1/01/2026,  2/01/2026;Midass;Schwedt;150101;;600275641;EWRANT;;
2026-01-07;;Recyclog/Recykler;1.04;23,428;462,00;1 250,00;408,65;10 823,74;1/01/2026,  2/01/2026;Midass;Schwedt;150101;23,980;600275642;EWRANT;;
2026-01-08;;Recyclog/Recykler;1.04;22,400;462,00;1 250,00;406,20;10 348,80;1/01/2026,  2/01/2026;Midass;Schwedt;150101;;600275647;EWRANT;;
2026-01-09;;Recyclog/Recykler;1.04;16,628;462,00;1 250,00;386,83;7 682,14;1/01/2026,  2/01/2026;Midass;Schwedt;150101;17,880;600275648;EWRANT;;
2026-01-09;;Recyclog/Recykler;1.04;21,660;462,00;1 250,00;404,29;10 006,92;1/01/2026,  2/01/2026;Midass;Schwedt;150101;;600275651;EWRANT;;
2026-01-12;;Recyclog/Recykler;1.04;22,180;462,00;1 250,00;405,64;10 247,16;2/01/2026, 9/01/2026;Midass;Schwedt;150101;;600275652;EWRANT;;
2026-01-12;;Recyclog/Recykler;1.11;19,520;819,00;1 250,00;754,96;15 986,88;2/01/2026, 9/01/2026;Midass;Schwedt;150101;;600275990;EWRANT;;
2026-01-13;;Recyclog/Recykler;1.04;21,138;462,00;1 250,00;402,86;9 765,76;2/01/2026, 9/01/2026;Midass;Schwedt;150101;21,680;600276025;EWRANT;;
2026-01-13;;Recyclog/Recykler;1.04;18,200;462,00;1 250,00;393,32;8 408,40;2/01/2026, 9/01/2026;Midass;Schwedt;150101;;600276031;EWRANT;;
2026-01-14;;Recyclog;1.04;21,620;441,00;1 600,00;366,99;9 534,42; 10/01/2026;Ewrant;EISEN;150101;;1194789;EWRANT;;
2026-01-14;;Recyclog/Recykler;1.04;19,791;462,00;1 250,00;398,84;9 143,44;2/01/2026, 9/01/2026;Midass;Schwedt;150101;22,800;600276036;EWRANT;;
2026-01-15;;Recyclog/Recykler;1.04;18,225;462,00;1 250,00;393,41;8 419,95;2/01/2026, 9/01/2026;Midass;Schwedt;150101;20,160;600276049;EWRANT;;
2026-01-15;;Recyclog/Recykler;1.04;19,934;462,00;1 250,00;399,29;9 209,51;2/01/2026, 9/01/2026;Midass;Schwedt;150101;22,860;600276050;EWRANT;;
2026-01-16;;Recyclog/Recykler;1.04;19,419;462,00;1 250,00;397,63;8 971,58;2/01/2026, 9/01/2026;Midass;Schwedt;150101;20,680;600276051;EWRANT;;
2026-01-16;;RLG;1.04;19,530;410,00;1 600,00;328,07;8 007,30;24/01/2026;Ewrant;Schwedt;150101;21,000;A200-147576;EWRANT;;
2026-01-19;2026-01-16;TM Recycling;folia 98/02;1,200;903,00;198,00;738,00;1 083,60;21/01/2026;Ewrant;Hohenwestedt;150102;;212458;EWRANT;;
